页标标题          url地址名称      页面效果资源（请从这里下载源码进行整合）   制作要求
渐进竖条      jjst                  http://codepen.io/YanRoedel/pen/kdawG 默认放大1倍

迷幻peace!    mhpeace               http://codepen.io/matthewlein/pen/extJh 字替换为“peace”，居中显示

烟火效果     yhxg                   http://codepen.io/jackrugile/pen/AJoiC  默认

满天碎片    mtsp                    http://codepen.io/whootboy/pen/qgeaC 尽量全屏，如太卡就稍微放大居中黑背景。

燃放烟花    rfyh                    http://codepen.io/jackrugile/pen/acAgx 放大一些，把功能按钮简单汉化。

十字方格    szfg                    http://codepen.io/Mobilpadde/pen/JnqFz 默认，移动速度加快一些。

跟随光斑     gsgb                   http://codepen.io/jackrugile/pen/fhapD 默认，放大2倍，背景统一纯黑。

柔美极光     rmjg                   http://codepen.io/amyth91/pen/BIbCo  默认底部。

瀑布         pb                     http://codepen.io/jackrugile/pen/Knawg 放大4倍 居中 

美味peace!  mwp                     http://codepen.io/chinchang/pen/neKJD 写“peace” ，放大3倍

圆点水滴   ydsd                     http://codepen.io/tholman/pen/LCaHB 放大4倍，尽量占满屏。

成长的树   czds                     http://codepen.io/FWeinb/pen/tDdzk 居中稍微放大，功能翻译一下。

爆破光斑   bpgb                     http://codepen.io/soulwire/pen/foktm 循环效果，删除不用的文字。

迷幻组合   mhzh                     http://codepen.io/jonathansampson/pen/Lzths 全屏显示，删除文字。

百变便签   bbbq                     http://codepen.io/hakimel/pen/iyuDa 默认

满屏气泡   mpqp                     http://codepen.io/jonathansampson/pen/szFGh 默认全屏

迷幻花屏   mhhp                     http://codepen.io/jackrugile/pen/AJfaB 只需要电脑屏幕内的效果放大到全屏效果

变化组合方块  bhzhfk                http://codepen.io/ericmatthys/pen/iDBqa 默认效果，翻译按钮

扭曲方块    nqfk                    http://codepen.io/jonasroessum/pen/AfvHe 默认居中 

双点围绕    sdwr                    http://codepen.io/janrubio/pen/DusIE  默认居中 

自由节点    zyjd                    http://codepen.io/cstumph/pen/bauwm 默认全屏 

打碎的peace!1 dsdpeace1             http://codepen.io/tholman/pen/xqnGb 样式一样，把文字体和为“PEACE”

打碎的peace!2 dsdpeace2             http://codepen.io/tholman/pen/lDLhk 样式一样，把文字体和为“PEACE”

变形水滴    bxsd                    http://codepen.io/hakimel/pen/xkKrC 默认样式，翻译功能按钮

白色丝带    bssd                    http://codepen.io/soulwire/pen/Ckzen 默认样式，删除文字

月食变化    ysbh                    http://codepen.io/HugoGiraudel/pen/geDqf 默认居中

满屏纸带    mpzd                    http://codepen.io/tholman/pen/Kibqe 默认

迷幻图形组合  mhtxzh                http://codepen.io/TimPietrusky/pen/qFdwh全屏默认效果

动物的脸     dwdl                   http://codepen.io/alantippins/pen/qyaju 默认居中

2B人脸       2brl                   http://codepen.io/sid-credits/pen/qyzJb  默认居中，去掉文字

空降彩带     kjcd                   http://codepen.io/tholman/pen/jvIEz  默认全屏

迷幻天空     mhtk                   http://codepen.io/montanaflynn/pen/orxwK 默认居中 

彩色碎片     cssp                   http://codepen.io/tholman/pen/tuyrq     

流行字体     lxzt                   http://codepen.io/GeneLocklin/pen/IhKLw 把说明文字换成中文

像素玛丽     xsml                   http://codepen.io/geckotang/pen/DlCdo 默认，居中

灰线雷达波普  hxldbp                http://codepen.io/jackrugile/pen/ejsbf 放大4倍

奇怪的花     qgdh                   http://codepen.io/tholman/pen/GmpFn 默认全屏

死亡舞蹈     swwd                   http://codepen.io/fixcl/pen/swkgA 顶部居中即可

垂直竖线     czsx                   http://codepen.io/Tenderfeel/pen/Hyczl 默认全屏

迷幻放射线   mhfsx                  http://codepen.io/jackrugile/pen/ohFbx 全屏显示

旋转圆方     xzyf                   http://codepen.io/secondfret/pen/BczKs 默认居中显示

三角圆   sjy                        http://codepen.io/catalinred/pen/cLeyx 居中，放大6倍

魔方切面  mfqm                      http://codepen.io/johan/pen/yGDoI 默认居中，放大1倍

吃豆小人    cdxr                    http://codepen.io/johanberonius/pen/cCbmt 居中放大1倍

圆形迷宫  yxmg                      http://codepen.io/tholman/pen/gmBIc 始终循环显示，不白屏

线性建筑   xxjz                     http://codepen.io/tholman/pen/kKsga 默认全屏

迷幻红桃心  mhhtx                   http://codepen.io/MrNibbles/pen/CfygK 默认全屏

神奇迷幻组合 sqmhzh                 http://codepen.io/MrNibbles/pen/tkjDn 默认全屏

黑色小怪物1  hsxgw1                 http://codepen.io/hakimel/pen/ybxGk 默认

迷幻线点  mhxd                      http://lab.hakim.se/linjer/ 默认全屏 翻译简单功能按钮及描述

